Name,Length_V1,Glyco(Nx[ST])_V1,NP[ST]_V1,NN[ST][ST]_V1,Charge_V1,Length_V2,Glyco(Nx[ST])_V2,NP[ST]_V2,NN[ST][ST]_V2,Charge_V2,Length_V1V2,Glyco(Nx[ST])_V1V2,NP[ST]_V1V2,NN[ST][ST]_V1V2,Charge_V1V2,Length_V3,Glyco(Nx[ST])_V3,NP[ST]_V3,NN[ST][ST]_V3,Charge_V3,Length_V4,Glyco(Nx[ST])_V4,NP[ST]_V4,NN[ST][ST]_V4,Charge_V4,Length_V5,Glyco(Nx[ST])_V5,NP[ST]_V5,NN[ST][ST]_V5,Charge_V5
01_AE.CN.2008.SH6_81.GU475032,34,0,0,0,-2,40,0,0,0,3,72,0,0,0,1,36,0,0,0,2,27,0,0,0,0,12,0,0,0,-1
01_AE.CN.2008.SHX335_24.GU475033,40,1,0,0,-3,43,0,0,0,4,81,1,0,0,1,37,0,0,0,2,23,0,0,0,-1,18,1,0,0,0
01_AE.CN.2008.SHX346_60.GU475034,30,0,0,0,-1,44,0,0,0,4,72,0,0,0,3,37,0,0,0,2,28,0,0,0,-1,12,0,0,0,0
01_AE.CN.2008.BJ6_17.GU475029,31,0,0,0,0,42,0,0,0,2,71,0,0,0,2,37,0,0,0,3,20,0,0,0,-1,13,0,0,0,-1
01_AE.CN.2008.GX68_5.GU475044,31,0,0,0,1,45,0,0,0,4,74,0,0,0,5,37,0,0,0,4,26,0,0,0,1,13,0,0,0,0
01_AE.CN.2008.GX71_18.GU475016,29,0,0,0,-1,41,0,0,0,2,68,0,0,0,1,37,0,0,0,2,24,0,0,0,1,14,0,0,0,-1
01_AE.CN.2008.GX72_27.GU475035,36,1,0,0,-2,44,0,0,0,1,78,1,0,0,-1,37,0,0,0,2,28,1,0,0,1,18,1,0,0,-2
01_AE.CN.2008.GX73_29.GU475038,29,0,0,0,-3,40,0,0,0,2,67,0,0,0,-1,36,0,0,0,5,28,0,1,0,1,12,0,0,0,-1
01_AE.CN.2008.GX74_20.GU475021,31,0,0,0,2,51,1,0,0,1,80,1,0,0,3,37,0,0,0,2,30,0,0,0,-1,15,0,0,0,-1
01_AE.CN.2008.GX81_43.GU475014,25,0,1,0,-1,41,0,0,0,2,64,0,1,0,1,37,0,0,0,2,28,0,0,0,-3,14,0,0,0,-1
01_AE.CN.2008.GX83_47.GU475027,31,0,0,0,-2,44,0,0,0,1,73,0,0,0,-1,37,0,0,0,2,28,0,0,0,0,12,0,0,0,-1
01_AE.CN.2008.GX88_47.GU475018,28,0,0,0,-1,39,0,0,0,1,65,0,0,0,0,37,0,0,0,7,26,0,0,0,0,11,1,0,0,-1
01_AE.CN.2008.GX8C_31.GU475039,31,0,0,0,-2,40,0,0,0,3,69,0,0,0,1,37,0,0,0,3,20,0,0,0,1,12,0,0,0,-1
01_AE.CN.2008.GX90_1.GU475019,42,1,0,0,-1,47,1,0,0,3,87,2,0,0,2,37,0,0,0,4,28,0,0,0,0,12,0,0,0,1
01_AE.CN.2008.GX91_2.GU475013,34,0,0,0,-1,43,0,0,0,2,75,0,0,0,1,37,0,0,0,2,26,0,0,0,0,12,0,0,0,1
01_AE.CN.2009.09GX268_E332N_N334S.,35,0,0,0,1,43,0,0,0,2,76,0,0,0,3,37,0,0,0,3,29,0,0,0,-4,14,0,0,0,-1
01_AE.CN.2009.09GX285_E332N_N334S.,27,0,1,0,-2,44,0,0,0,2,69,0,1,0,0,37,0,0,0,3,28,0,0,0,-2,12,0,0,0,-1
01_AE.CN.2009.09GX319_E332N_N334S.,35,0,0,0,-3,41,0,0,0,3,74,0,0,0,0,37,0,0,0,4,28,0,0,0,-3,11,0,0,0,-1
01_AE.CN.2009.09GX319_F330H_E332N_N334S.,35,0,0,0,-3,41,0,0,0,3,74,0,0,0,0,37,0,0,0,5,28,0,0,0,-3,11,0,0,0,-1
01_AE.CN.2009.09GX332_E332N_N334S.,28,0,0,0,0,40,0,0,0,3,66,0,0,0,3,37,0,0,0,4,28,0,0,0,0,11,0,0,0,0
01_AE.CN.2009.09GX268.MG655196,35,0,0,0,1,43,0,0,0,2,76,0,0,0,3,37,0,0,0,2,29,0,0,0,-4,14,0,0,0,-1
01_AE.CN.2009.09GX285.MG655197,27,0,1,0,-2,44,0,0,0,2,69,0,1,0,0,37,0,0,0,2,28,0,0,0,-2,12,0,0,0,-1
01_AE.CN.2009.09GX286.MG655198,30,0,0,0,-1,52,0,0,0,5,80,0,0,0,4,37,0,0,0,2,26,0,0,0,-2,12,0,0,0,0
01_AE.CN.2009.09GX300.MG655199,37,1,0,0,1,39,0,0,0,3,74,1,0,0,4,37,0,0,0,3,25,0,0,0,2,16,0,0,0,0
01_AE.CN.2009.09GX310.MG655200,29,0,0,0,-3,40,0,0,0,3,67,0,0,0,0,37,0,0,0,5,32,0,0,0,-1,13,0,0,0,-1
01_AE.CN.2009.09GX311.MG655201,40,1,0,0,-2,43,0,0,0,1,81,1,0,0,-1,37,0,0,0,4,28,0,0,0,1,14,0,0,0,-1
01_AE.CN.2009.09GX319.MG655202,35,0,0,0,-3,41,0,0,0,3,74,0,0,0,0,37,0,0,0,5,28,0,0,0,-3,11,0,0,0,-1
01_AE.CN.2009.09GX330.MG655203,34,0,0,0,-1,41,0,0,0,3,73,0,0,0,2,37,0,0,0,2,30,0,0,0,-2,14,0,0,0,1
01_AE.CN.2009.09GX332.MG655204,28,0,0,0,0,40,0,0,0,3,66,0,0,0,3,37,0,0,0,3,28,0,0,0,0,11,0,0,0,0
01_AE.CN.2015.15JS01_E332N_N334S.,30,1,0,0,-2,41,0,0,0,2,69,1,0,0,0,37,0,0,0,4,20,0,0,0,1,11,0,0,0,0
01_AE.CN.2015.15JS07_E332N_N334S.,27,0,0,0,-1,41,0,0,0,2,66,0,0,0,1,37,0,0,0,4,26,0,0,0,0,12,0,0,0,1
01_AE.CN.2015.15JS47_E169K.,30,1,0,0,0,45,0,0,0,2,73,1,0,0,2,37,0,0,0,3,26,0,0,0,-1,11,0,0,0,0
01_AE.CN.2015.15JS47_E169K_Q171K.,30,1,0,0,0,45,0,0,0,3,73,1,0,0,3,37,0,0,0,3,26,0,0,0,-1,11,0,0,0,0
01_AE.CN.2015.15JS47_E332N_N334S.,30,1,0,0,0,45,0,0,0,0,73,1,0,0,0,37,0,0,0,4,26,0,0,0,-1,11,0,0,0,0
01_AE.CN.2015.15JS47_Q171K.,30,1,0,0,0,45,0,0,0,1,73,1,0,0,1,37,0,0,0,3,26,0,0,0,-1,11,0,0,0,0
01_AE.CN.2015.15JS48_E332N_N334S.,30,0,0,0,1,45,0,0,0,2,73,0,0,0,3,37,0,0,0,3,28,0,0,0,2,12,1,0,0,0
01_AE.CN.2015.15JS48_Y330H_E332N_N334S.,30,0,0,0,1,45,0,0,0,2,73,0,0,0,3,37,0,0,0,4,28,0,0,0,2,12,1,0,0,0
01_AE.CN.2015.15JS65_E332N_N334S.,29,0,0,0,0,43,1,0,0,2,70,1,0,0,2,37,0,0,0,3,26,0,0,0,-1,11,0,0,0,0
01_AE.CN.2015.15JS65_Q171K.,29,0,0,0,0,43,1,0,0,3,70,1,0,0,3,37,0,0,0,2,26,0,0,0,-1,11,0,0,0,0
01_AE.CN.2015.15JS76_E332N_N334S.,35,0,0,0,0,45,0,0,0,2,78,0,0,0,2,37,0,0,0,3,21,1,0,0,0,12,0,0,0,0
01_AE.CN.2015.15JS79_E332N_N334S.,36,0,0,0,1,42,0,0,0,3,76,0,0,0,4,37,0,0,0,3,26,0,0,0,-1,11,0,0,0,0
01_AE.CN.2015.15JS01.MG655205,30,1,0,0,-2,41,0,0,0,2,69,1,0,0,0,37,0,0,0,3,20,0,0,0,1,11,0,0,0,0
01_AE.CN.2015.15JS06.MG655206,32,0,0,0,-1,46,0,0,0,6,76,0,0,0,5,37,0,0,0,3,33,0,0,0,1,11,0,0,0,0
01_AE.CN.2015.15JS07.MG655207,27,0,0,0,-1,41,0,0,0,2,66,0,0,0,1,37,0,0,0,3,26,0,0,0,0,12,0,0,0,1
01_AE.CN.2015.15JS47.MG655210,30,1,0,0,0,45,0,0,0,0,73,1,0,0,0,37,0,0,0,3,26,0,0,0,-1,11,0,0,0,0
01_AE.CN.2015.15JS48.MG655211,30,0,0,0,1,45,0,0,0,2,73,0,0,0,3,37,0,0,0,2,28,0,0,0,2,12,1,0,0,0
01_AE.CN.2015.15JS62.MG655212,29,0,0,0,-2,40,0,0,0,2,67,0,0,0,0,37,0,0,0,3,26,0,0,0,0,11,0,0,0,0
01_AE.CN.2015.15JS65.MG655213,29,0,0,0,0,43,1,0,0,2,70,1,0,0,2,37,0,0,0,2,26,0,0,0,-1,11,0,0,0,0
01_AE.CN.2015.15JS75.MG655214,36,0,0,0,-2,47,0,0,0,0,81,0,0,0,-2,37,0,0,0,4,27,0,0,0,0,12,0,0,0,2
01_AE.CN.2015.15JS76.MG655215,35,0,0,0,0,45,0,0,0,2,78,0,0,0,2,37,0,0,0,2,21,1,0,0,0,12,0,0,0,0
01_AE.CN.2015.15JS79.MG655216,36,0,0,0,1,42,0,0,0,3,76,0,0,0,4,37,0,0,0,2,26,0,0,0,-1,11,0,0,0,0
01_AE.CN.2015.15JS102.MG655208,31,0,0,0,0,46,0,0,0,1,75,0,0,0,1,37,0,0,0,4,26,0,0,0,-1,11,0,0,0,-1
01_AE.CN.2015.15JS111.MG655209,31,1,0,0,-1,42,0,0,0,0,71,1,0,0,-1,37,0,0,0,3,26,0,0,0,-1,11,0,0,0,1
01_AE.CN.2015.15JS99.MG655218,32,0,0,0,0,48,0,0,0,3,78,0,0,0,3,37,0,0,0,2,30,0,0,0,0,13,0,0,0,0
01_AE.CN.x.BJMSM2249.,33,0,0,0,1,41,0,0,0,0,72,0,0,0,1,37,0,0,0,3,26,0,0,0,0,10,0,0,0,-1
01_AE.CN.x.BJMSM2316.,33,0,0,0,2,41,0,0,0,4,72,0,0,0,6,37,0,0,0,3,36,0,0,0,-1,13,0,0,0,-1
01_AE.CN.x.BJMSM2498.,32,0,0,0,0,41,0,0,0,1,71,0,0,0,1,37,0,0,0,3,22,0,0,0,2,12,0,0,0,0
01_AE.CN.x.BJYA10_1_3.MN617373,38,0,0,0,0,41,0,0,0,2,77,0,0,0,2,37,0,0,0,4,26,0,0,0,0,15,0,0,0,-1
01_AE.CN.x.BJYA2_1_1.MN617372,29,0,0,0,-1,41,0,0,0,2,68,0,0,0,1,37,0,0,0,3,26,0,0,0,-1,12,0,0,0,-1
01_AE.TH.1990.CM235_2.JN944662,31,0,0,0,0,44,0,0,0,3,73,0,0,0,3,37,0,0,0,3,28,0,0,0,2,12,0,0,0,0
01_AE.TH.1990.CM244_90TH.AY713425,36,0,0,0,2,43,0,0,0,2,77,0,0,0,4,37,0,0,0,2,28,0,0,0,0,13,0,0,0,0
01_AE.TH.1990.CM244_EC1.JQ715397,36,0,0,0,2,43,0,0,0,2,77,0,0,0,4,37,0,0,0,2,28,0,0,0,0,13,0,0,0,0
01_AE.TH.1990.CM244_EC1_H173A_Y177A.,36,0,0,0,2,43,0,0,0,1,77,0,0,0,3,37,0,0,0,2,28,0,0,0,0,13,0,0,0,0
01_AE.TH.1990.CM246_C1.JN944663,31,0,0,0,0,42,0,0,0,3,71,0,0,0,3,37,0,0,0,2,24,0,0,0,0,11,0,0,0,0
01_AE.TH.1991.CM235_C11.JQ715395,31,0,0,0,1,44,0,0,0,3,73,0,0,0,4,37,0,0,0,3,28,0,0,0,0,12,0,0,0,0
01_AE.TH.1992.92TH021.AY669775,31,0,0,0,0,44,0,0,0,0,73,0,0,0,0,37,0,0,0,2,28,0,0,0,-2,12,0,0,0,0
01_AE.TH.1992.TH023_6.KU562843,31,0,0,0,0,43,0,0,0,3,72,0,0,0,3,37,0,0,0,2,28,0,0,0,-2,11,0,0,0,0
01_AE.TH.1993.93TH057.AF197338,30,0,0,0,1,43,0,0,0,2,71,0,0,0,3,37,0,0,0,4,28,0,0,0,0,12,1,0,0,0
01_AE.TH.1993.CMU02.AY669779,31,0,0,0,-1,53,1,0,0,2,82,1,0,0,1,36,0,0,0,6,28,0,0,0,0,12,0,0,0,0
01_AE.TH.1993.TH966_8.U08456,31,0,0,0,0,42,0,0,0,2,71,0,0,0,2,37,0,0,0,3,28,0,0,0,-1,12,1,0,0,0
01_AE.TH.1993.TH976_17.U08458,36,0,0,0,0,39,0,0,0,3,73,0,0,0,3,37,0,0,0,3,26,0,0,0,-1,12,0,0,0,0
01_AE.TH.1995.NP03.KC822430,29,0,0,0,0,41,0,0,0,4,68,0,0,0,4,36,0,0,0,5,28,0,0,0,0,12,0,0,0,0
01_AE.TH.1996.M02138.AY713424,29,0,0,0,-3,44,0,0,0,1,71,0,0,0,-2,36,0,0,0,7,28,0,0,0,1,12,0,0,0,1
01_AE.TH.1996.NI1046_EC3.JQ715412,30,0,0,0,-2,43,0,0,0,1,71,0,0,0,-1,37,0,0,0,3,34,0,0,0,-2,11,0,0,0,0
01_AE.TH.1998.R1166_C1.JQ352783,43,0,0,0,0,42,0,0,0,2,83,0,0,0,2,37,0,0,0,3,32,0,0,0,0,12,1,0,0,0
01_AE.TH.1999.C1080_C3.JN944660,30,0,0,0,-1,40,0,0,0,3,68,0,0,0,2,37,0,0,0,2,29,0,0,0,-1,14,0,0,0,-2
01_AE.TH.1999.C2101_C1.JN944661,30,0,0,0,-1,43,0,0,0,3,71,0,0,0,2,37,0,0,0,2,25,0,0,0,1,11,0,0,0,0
01_AE.TH.1999.C3347_C11.JX512902,34,0,0,0,-1,44,0,0,0,3,76,0,0,0,2,37,0,0,0,3,28,0,0,0,-1,12,0,0,0,-1
01_AE.TH.1999.R3265_C6.JX512903,31,0,0,0,0,41,0,0,0,3,70,0,0,0,3,37,0,0,0,2,34,0,0,0,-1,12,0,0,0,-2
01_AE.TH.2000.C4118_9.JQ352782,31,0,0,0,0,44,0,0,0,3,73,0,0,0,3,37,0,0,0,2,22,0,0,0,1,14,0,0,0,0
01_AE.TH.2001.R2184_C4.JN944665,32,0,0,0,-1,45,0,0,0,3,75,0,0,0,2,37,0,0,0,4,32,0,0,0,-2,13,0,0,0,1
01_AE.TH.2005.356272_C02.JN944654,31,0,0,0,-2,40,0,0,0,2,69,0,0,0,0,37,0,0,0,5,27,0,0,0,-4,13,0,0,0,0
01_AE.TH.2005.620345_C1.JX512900,31,0,0,0,-1,40,0,0,0,0,69,0,0,0,-1,37,0,0,0,4,32,0,0,0,-2,13,0,0,0,-2
01_AE.TH.2005.620345_C10.JN944656,31,0,0,0,-1,40,0,0,0,0,69,0,0,0,-1,37,0,0,0,4,32,0,0,0,-2,13,0,0,0,-1
01_AE.TH.2005.703357_C2.JN944658,34,0,0,0,-3,48,0,0,0,2,80,0,0,0,-1,38,0,0,0,2,24,0,0,0,-2,13,0,0,0,-1
01_AE.TH.2005.816769_AA107A_WG8.JX448026,38,0,0,0,-2,39,0,0,0,2,75,0,0,0,0,37,0,0,0,3,28,0,0,0,-2,12,0,0,0,-1
01_AE.TH.2006.427299_C12.JN944655,35,0,0,0,0,43,0,0,0,1,76,0,0,0,1,37,0,0,0,3,32,0,0,0,-3,15,0,0,0,1
01_AE.TH.2006.644039_C01B.JN944657,41,0,0,0,-1,55,0,0,0,0,94,0,0,0,-1,37,0,0,0,2,28,0,0,0,-1,11,0,0,0,0
01_AE.TH.2006.816763_C02.JN944659,32,0,0,0,1,39,0,0,0,-2,69,0,0,0,-1,37,0,0,0,2,31,0,0,0,-1,11,0,0,0,1
01_AE.TH.2006.434239_AA058_A04R.JX447346,35,0,0,0,-2,44,0,0,0,2,77,0,0,0,0,37,0,0,0,2,28,0,0,0,-2,13,0,0,0,0
01_AE.TH.2006.731027_AA104A_RH5.JX447986,33,0,0,0,-1,43,0,0,0,2,74,0,0,0,1,37,0,0,0,2,22,0,0,0,-1,11,0,0,0,1
01_AE.TH.2009.40061_V03_04B.KY580544,32,0,0,0,-1,42,1,0,0,4,72,1,0,0,3,37,0,0,0,4,30,0,0,0,0,14,0,0,0,0
01_AE.TH.2009.40061_V03_08.KY580548,32,0,0,0,-1,42,1,0,0,4,72,1,0,0,3,37,0,0,0,2,30,0,0,0,0,14,0,0,0,0
01_AE.TH.2009.254001_P00RA_1.JX512892,31,0,0,0,0,43,0,0,0,1,72,0,0,0,1,37,0,0,0,3,32,0,0,0,0,15,0,0,0,-1
01_AE.TH.2009.254004_P00RC_2.KT185994,30,0,0,0,0,42,0,0,0,2,70,0,0,0,2,37,0,0,0,2,26,1,0,0,-1,14,0,0,0,-1
01_AE.TH.2009.254006_P00RA_1.JX512894,32,0,0,0,0,40,0,0,0,3,70,0,0,0,3,38,0,0,0,4,23,0,0,0,-2,14,0,0,0,0
01_AE.TH.2010.40100_V01_09.KY580588,31,0,0,0,-2,48,0,0,0,-1,77,0,0,0,-3,37,0,0,0,4,28,0,0,0,1,13,0,0,0,-2
01_AE.TH.2010.40100_V01_MN01.MF622080,30,0,0,0,-1,48,0,0,0,0,76,0,0,0,-1,37,0,0,0,4,28,0,0,0,2,13,0,0,0,-1
01_AE.TH.2011.40363_V03_02.MN792426,31,0,0,0,-1,44,0,0,0,1,73,0,0,0,0,37,0,0,0,3,38,0,0,0,0,12,0,0,0,-2
01_AE.TH.2011.40512V02_03_RV217.MK116905,35,0,0,0,-2,49,0,0,0,3,82,0,0,0,1,37,0,0,0,4,33,0,0,0,-1,21,0,0,0,-1
01_AE.TH.2011.40436V09_03.KY580696,22,0,0,0,-2,41,1,0,0,2,61,1,0,0,0,37,0,0,0,3,26,0,0,0,2,16,0,0,0,-3
01_AE.TH.2013.40700V03_06.OM826774,36,0,0,0,2,52,0,0,0,0,86,0,0,0,2,37,0,0,0,6,32,0,0,0,1,12,1,0,0,0
01_AE.TH.x.KSS_0514_13.HM215429,37,0,0,0,-1,46,1,0,0,2,81,1,0,0,1,37,0,0,0,7,23,0,0,0,0,13,0,0,0,0
01_AE.TH.x.PSR_0508_2.HM215432,41,0,0,0,-1,43,0,0,0,3,82,0,0,0,2,37,0,0,0,6,26,0,0,0,1,12,0,0,0,0
01_AE.TH.x.SPK_0525_13.HM215436,32,0,0,0,-2,42,0,0,0,4,72,0,0,0,2,37,0,0,0,2,25,0,0,0,1,12,0,0,0,0
01_AE..x.CON_01_AE_2010S.,32,0,0,0,-1,42,1,0,0,1,72,1,0,0,0,37,0,0,0,3,29,0,0,0,-1,12,0,0,0,0
