Name,Length,Glyco(Nx[ST]),NP[ST],NN[ST][ST],Charge
01_AE.CN.2015.15JS48_Y330H_E332N_N334S.,12,1,0,0,0
01_AE.CN.2015.15JS65_E332N_N334S.,11,0,0,0,0
01_AE.CN.2015.15JS65_Q171K.,11,0,0,0,0
01_AE.CN.2015.15JS76_E332N_N334S.,12,0,0,0,0
01_AE.CN.2015.15JS79_E332N_N334S.,11,0,0,0,0
01_AE.CN.2015.15JS01.MG655205,11,0,0,0,0
01_AE.CN.2015.15JS06.MG655206,11,0,0,0,0
01_AE.CN.2015.15JS07.MG655207,12,0,0,0,1
01_AE.CN.2015.15JS47.MG655210,11,0,0,0,0
01_AE.CN.2015.15JS48.MG655211,12,1,0,0,0
01_AE.CN.2015.15JS62.MG655212,11,0,0,0,0
01_AE.CN.2015.15JS65.MG655213,11,0,0,0,0
01_AE.CN.2015.15JS75.MG655214,12,0,0,0,2
01_AE.CN.2015.15JS76.MG655215,12,0,0,0,0
01_AE.CN.2015.15JS79.MG655216,11,0,0,0,0
01_AE.CN.2015.15JS102.MG655208,11,0,0,0,-1
01_AE.CN.2015.15JS111.MG655209,11,0,0,0,1
01_AE.CN.2015.15JS99.MG655218,13,0,0,0,0
01_AE.CN.x.BJMSM2249.,10,0,0,0,-1
01_AE.CN.x.BJMSM2316.,13,0,0,0,-1
01_AE.CN.x.BJMSM2498.,12,0,0,0,0
01_AE.CN.x.BJYA10_1_3.MN617373,15,0,0,0,-1
01_AE.CN.x.BJYA2_1_1.MN617372,12,0,0,0,-1
01_AE.TH.1990.CM235_2.JN944662,12,0,0,0,0
01_AE.TH.1990.CM244_90TH.AY713425,13,0,0,0,0
01_AE.TH.1990.CM244_EC1.JQ715397,13,0,0,0,0
01_AE.TH.1990.CM244_EC1_H173A_Y177A.,13,0,0,0,0
01_AE.TH.1990.CM246_C1.JN944663,11,0,0,0,0
01_AE.TH.1991.CM235_C11.JQ715395,12,0,0,0,0
01_AE.TH.1992.92TH021.AY669775,12,0,0,0,0
01_AE.TH.1992.TH023_6.KU562843,11,0,0,0,0
01_AE.TH.1993.93TH057.AF197338,12,1,0,0,0
01_AE.TH.1993.CMU02.AY669779,12,0,0,0,0
01_AE.TH.1993.TH966_8.U08456,12,1,0,0,0
01_AE.TH.1993.TH976_17.U08458,12,0,0,0,0
01_AE.TH.1995.NP03.KC822430,12,0,0,0,0
01_AE.TH.1996.M02138.AY713424,12,0,0,0,1
01_AE.TH.1996.NI1046_EC3.JQ715412,11,0,0,0,0
01_AE.TH.1998.R1166_C1.JQ352783,12,1,0,0,0
01_AE.TH.1999.C1080_C3.JN944660,14,0,0,0,-2
01_AE.TH.1999.C2101_C1.JN944661,11,0,0,0,0
01_AE.TH.1999.C3347_C11.JX512902,12,0,0,0,-1
01_AE.TH.1999.R3265_C6.JX512903,12,0,0,0,-2
01_AE.TH.2000.C4118_9.JQ352782,14,0,0,0,0
01_AE.TH.2001.R2184_C4.JN944665,13,0,0,0,1
01_AE.TH.2005.356272_C02.JN944654,13,0,0,0,0
01_AE.TH.2005.620345_C1.JX512900,13,0,0,0,-2
01_AE.TH.2005.620345_C10.JN944656,13,0,0,0,-1
01_AE.TH.2005.703357_C2.JN944658,13,0,0,0,-1
01_AE.TH.2005.816769_AA107A_WG8.JX448026,12,0,0,0,-1
01_AE.TH.2006.427299_C12.JN944655,15,0,0,0,1
01_AE.TH.2006.644039_C01B.JN944657,11,0,0,0,0
01_AE.TH.2006.816763_C02.JN944659,11,0,0,0,1
01_AE.TH.2006.434239_AA058_A04R.JX447346,13,0,0,0,0
01_AE.TH.2006.731027_AA104A_RH5.JX447986,11,0,0,0,1
01_AE.TH.2009.40061_V03_04B.KY580544,14,0,0,0,0
01_AE.TH.2009.40061_V03_08.KY580548,14,0,0,0,0
01_AE.TH.2009.254001_P00RA_1.JX512892,15,0,0,0,-1
01_AE.TH.2009.254004_P00RC_2.KT185994,14,0,0,0,-1
01_AE.TH.2009.254006_P00RA_1.JX512894,14,0,0,0,0
01_AE.TH.2010.40100_V01_09.KY580588,13,0,0,0,-2
01_AE.TH.2010.40100_V01_MN01.MF622080,13,0,0,0,-1
01_AE.TH.2011.40363_V03_02.MN792426,12,0,0,0,-2
01_AE.TH.2011.40512V02_03_RV217.MK116905,21,0,0,0,-1
01_AE.TH.2011.40436V09_03.KY580696,16,0,0,0,-3
01_AE.TH.2013.40700V03_06.OM826774,12,1,0,0,0
01_AE.TH.x.KSS_0514_13.HM215429,13,0,0,0,0
01_AE.TH.x.PSR_0508_2.HM215432,12,0,0,0,0
01_AE.TH.x.SPK_0525_13.HM215436,12,0,0,0,0
01_AE..x.CON_01_AE_2010S.,12,0,0,0,0
01_AE..x.CON_01_AE_2010S_RE1.,11,0,0,0,0
01_AE..x.CON_01_AE_2010S_RE2.,11,0,0,0,0
01_AE..x.P08.,12,0,0,0,0
02A1.CM.2004.242_14.EU513188,15,0,0,0,-1
02A1.CM.2004.269_12.EU513194,13,0,0,0,-1
02A1.CM.2004.T257_31.EU513185,14,0,0,0,-2
02A1.CM.2005.T280_5.EU513183,12,0,0,0,0
02A1.SN.1999.2843_P5_1.HM215282,12,0,0,0,0
02_AG.BE.1993.VI1090.HQ912710,12,1,0,0,0
02_AG.BE.1993.VI1090_N276D.,12,1,0,0,0
02_AG.CH.2011.S50725_295WK_C60.PQ282694,12,1,0,0,-1
02_AG.CI.1999.928_28.EU513199,13,0,0,0,-1
02_AG.CI.1999.928_28_L669S.,13,0,0,0,-1
02_AG.CI.1999.928_28_Y681H.,13,0,0,0,-1
02_AG.CM.2004.211_9.EU513187,12,0,0,0,-1
02_AG.CM.2004.235_47.EU513195,13,0,0,0,0
02_AG.CM.2004.263_8.EU513182,12,1,0,0,0
02_AG.CM.2004.T250_4.PV576767,11,0,0,0,0
02_AG.CM.2004.T251_18.EU513196,13,0,0,0,1
02_AG.CM.2004.T253_11.EU513191,12,0,0,0,0
02_AG.CM.2004.T253_11_L669S.,12,0,0,0,0
02_AG.CM.2004.T253_11_Y681H.,12,0,0,0,0
02_AG.CM.2004.T255_34.EU513184,12,0,0,0,0
02_AG.CM.2005.T278_50.EU513198,12,0,0,0,-2
02_AG.FR.1991.DJ263_8.EU855130,12,1,0,0,0
02_AG.FR.1997.FR_1997_51.MH742769,12,1,0,0,-1
02_AG.FR.1999.FR_1999_46.MH742764,12,0,0,0,0
02_AG.FR.2000.FR_2000_45.MH742763,12,0,0,0,-2
02_AG.FR.2001.FR_2001_48.MH742766,13,0,0,0,1
02_AG.FR.2001.FR_2001_49.MH742767,12,0,0,0,0
02_AG.FR.2001.FR_2001_47.MH742765,11,0,0,0,0
02_AG.FR.2001.FR_2001_56.MH742771,13,0,0,0,-1
02_AG.FR.2001.FR_2001_54.MH742770,13,0,0,0,1
02_AG.FR.2001.FR_2001_50.MH742768,16,0,0,0,-1
02_AG.FR.2002.FR_2002_41.MH742762,12,0,0,0,0
02_AG.FR.2008.FR_2008_66.MH742773,11,1,0,0,0
02_AG.FR.2008.FR_2008_67.MH742774,13,0,0,0,-1
02_AG.FR.2009.FR_2009_71.MH742775,12,0,0,0,0
02_AG.FR.2009.FR_2009_73.MH742776,12,1,0,0,0
02_AG.FR.2009.FR_2009_64.MH742772,13,0,0,0,-1
02_AG.FR.2009.FR_2009_77.MH742779,12,0,0,0,-2
02_AG.FR.2009.FR_2009_76.MH742778,15,0,0,0,1
02_AG.FR.2010.FR_2010_74.MH742777,13,0,0,0,0
02_AG.FR.2011.FR_2011_167.MH742751,14,0,0,0,-2
02_AG.FR.2012.FR_2012_181.MH742761,15,1,0,0,-1
02_AG.FR.2012.FR_2012_172.MH742754,13,0,0,0,0
02_AG.FR.2012.FR_2012_178.MH742758,12,0,0,0,0
02_AG.FR.2012.FR_2012_168.MH742752,12,0,0,0,0
02_AG.FR.2012.FR_2012_173.MH742755,11,0,0,0,-1
02_AG.FR.2012.FR_2012_164.MH742749,13,0,0,0,-1
02_AG.FR.2012.FR_2012_177.MH742757,17,0,0,0,0
02_AG.FR.2012.FR_2012_180.MH742760,15,0,0,0,-1
02_AG.FR.2012.FR_2012_161.MH742747,12,0,0,0,0
02_AG.FR.2012.FR_2012_162.MH742748,15,0,0,0,-2
02_AG.FR.2012.FR_2012_179.MH742759,9,0,0,0,-1
02_AG.FR.2012.FR_2012_171.MH742753,13,0,0,0,-3
02_AG.FR.2012.FR_2012_176.MH742756,13,0,0,0,-2
02_AG.FR.2012.FR_2012_166.MH742750,12,0,0,0,-2
02_AG.FR.x.KON.AF321079,13,1,0,0,0
02_AG.NG.2006.SC12_EC10.PQ203499,16,0,0,0,2
02_AG.NG.2006.SC12_EC4.PQ203494,16,0,0,0,2
02_AG.NG.2006.SC12_EC5.PQ203495,16,0,0,0,2
02_AG.NG.2006.SC12_EC6.PQ203496,16,0,0,0,2
02_AG.NG.2006.SC12_EC8.PQ203497,16,0,0,0,2
02_AG.NG.2006.SC12_EC9.PQ203498,16,0,0,0,2
02_AG.NG.2008.SC28_EC1.PQ203519,11,0,0,0,1
02_AG.NG.2008.SC28_EC10.PQ203522,11,0,0,0,1
02_AG.NG.2008.SC28_EC4.PQ203520,11,0,0,0,1
02_AG.NG.2008.SC28_EC7.PQ203521,11,0,0,0,1
02_AG.NG.2008.SC30_EC11.PQ203526,18,0,0,0,-2
02_AG.NG.2008.SC30_EC9.PQ203525,18,0,0,0,-2
02_AG.NG.2009.SC29_EC1.PQ203523,12,0,0,0,0
02_AG.NG.2009.SC29_EC2.PQ203524,12,0,0,0,0
02_AG.NG.2015.126652V01_EC3.PQ203462,13,0,0,0,-1
02_AG.NG.2015.126652V01_EC4.PQ203463,13,0,0,0,-1
02_AG.NG.2015.126652V01_EC5.PQ203464,13,0,0,0,-1
02_AG.NG.2015.126652V01_EC6.PQ203465,13,0,0,0,-1
02_AG.SN.1999.1105_P17_1.HM215264,11,0,0,0,0
02_AG.SN.1999.3169_P4.HM215290,12,0,0,0,0
02_AG.SN.1999.3226_P15.HM215291,12,0,0,0,-2
02_AG.SN.1999.3273_P21_1.HM215293,12,0,0,0,0
02_AG.SN.2000.2705_P18_1.HM215281,13,0,0,0,0
02_AG.SN.2001.3233_P12.HM215292,13,0,0,0,-1
02_AG..x.MGRM_AG_002.MF510462,13,0,0,0,0
02C.ZA.2019.V703_1255_260_RE_PBLIB003_S.ON891021,13,0,0,0,0
06_cpx.CH.2001.S30743_346WK_C88.PQ282678,10,0,0,0,0
06_cpx.SN.1999.1656_P21.HM215265,13,0,0,0,-1
0708.CN.x.SC11_59.HQ326127,13,0,0,0,-1
07_BC.CN.1998.98CN009.AY669747,12,0,0,0,-2
07_BC.CN.2003.BC14.EU363844,14,0,0,0,0
07_BC.CN.2004.CH038_12.EF042692,14,0,0,0,-1
07_BC.CN.2004.CH064_20.EF117254,13,0,0,0,-1
07_BC.CN.2004.CH070_1.EF117255,12,0,0,0,1
07_BC.CN.2004.CH091_9.EF117256,12,0,0,0,-1
07_BC.CN.2004.CH110_2.EF117257,12,0,0,0,-3
07_BC.CN.2004.CH111_8.EF117258,14,0,0,0,-2
07_BC.CN.2004.CH114_8.EF117264,12,0,0,0,-1
07_BC.CN.2004.CH115_12.EF117263,14,0,0,0,0
07_BC.CN.2004.CH117_4.EF117262,12,0,0,0,0
07_BC.CN.2004.CH119_10.EF117261,17,0,0,0,-2
07_BC.CN.2004.CH120_6.EF117260,13,0,0,0,0
07_BC.CN.2004.CH181_12.EF117259,14,0,0,0,-1
07_BC.CN.2005.BC07.EU363837,14,0,0,0,-1
07_BC.CN.2005.BC10.EU363840,13,0,0,0,-1
07_BC.CN.2005.BC18.EU363848,13,0,0,0,-3
07_BC.CN.2007.BJOX002000_03_2.HM215364,11,0,0,0,-2
07_BC.CN.2007.BJOX011000_01_3.HM215375,14,0,0,0,-1
07_BC.CN.2007.BJOX019000_02_1.HM215380,14,0,0,0,-1
07_BC.CN.2007.BJOX027000_02_1.HM215388,12,0,0,0,-2
07_BC.CN.2007.BJOX029000_03_1.HM215392,12,0,0,0,1
07_BC.CN.2007.CNE19.HM215405,12,0,0,0,-1
07_BC.CN.2007.CNE20.HM215406,12,0,0,0,-2
07_BC.CN.2007.CNE21.HM215407,14,0,0,0,0
07_BC.CN.2007.CNE40.HM215414,12,0,0,0,0
07_BC.CN.2007.CNE68.HQ699982,12,0,0,0,-1
07_BC.CN.2018.SHIV_CNE40.MK558968,12,0,0,0,0
07_BC.CN.2018.SHIV_CNE40_JB98_W29_1.MK558996,12,0,0,0,0
07_BC.CN.2018.SHIV_CNE40_JB98_W29_10.MK558997,12,0,0,0,0
07_BC.CN.2018.SHIV_CNE40_JB98_W29_16.MK558991,12,0,0,0,0
07_BC.CN.2018.SHIV_CNE40_JB98_W29_17.MK558994,12,0,0,0,0
07_BC.CN.2018.SHIV_CNE40_JB98_W29_2.MK559002,12,0,0,0,0
07_BC.CN.2018.SHIV_CNE40_JB98_W29_21.MK558995,12,0,0,0,0
07_BC.CN.2018.SHIV_CNE40_JB98_W29_25.MK559001,12,0,0,0,0
07_BC.CN.2018.SHIV_CNE40_JB98_W29_27.MK558992,12,0,0,0,0
07_BC.CN.2018.SHIV_CNE40_JB98_W29_28.MK558998,12,0,0,0,0
07_BC.CN.2018.SHIV_CNE40_JB98_W29_3.MK559000,12,0,0,0,0
07_BC.CN.2018.SHIV_CNE40_JB98_W29_6.MK558993,12,0,0,0,0
07_BC.CN.2018.SHIV_CNE40_JD14_W29_1.MK559015,12,0,0,0,0
07_BC.CN.2018.SHIV_CNE40_JD14_W29_11.MK559016,12,0,0,0,0
07_BC.CN.2018.SHIV_CNE40_JD14_W29_12.MK559008,12,0,0,0,0
07_BC.CN.2018.SHIV_CNE40_JD14_W29_14.MK559010,12,0,0,0,0
07_BC.CN.2018.SHIV_CNE40_JD14_W29_16.MK559009,12,0,0,0,0
07_BC.CN.2018.SHIV_CNE40_JD14_W29_17.MK559017,12,0,0,0,0
07_BC.CN.2018.SHIV_CNE40_JD14_W29_19.MK559004,12,0,0,0,0
07_BC.CN.2018.SHIV_CNE40_JD14_W29_2.MK559014,12,0,0,0,0
07_BC.CN.2018.SHIV_CNE40_JD14_W29_20.MK559005,12,0,0,0,0
07_BC.CN.2018.SHIV_CNE40_JD14_W29_3.MK559006,12,0,0,0,0
07_BC.CN.2018.SHIV_CNE40_JD14_W29_4.MK559007,12,0,0,0,0
07_BC.CN.2018.SHIV_CNE40_JD14_W29_5.MK559013,12,0,0,0,0
07_BC.CN.2018.SHIV_CNE40_JD14_W29_7.MK559012,12,0,0,0,0
07_BC.CN.2018.SHIV_CNE40_JD14_W29_8.MK559011,12,0,0,0,0
07_BC.CN.x.BC02.EU363832,14,0,0,0,-2
07_BC.CN.x.BC12.EU363842,13,0,0,0,0
07_BC.CN.x.BC16.EU363846,13,0,0,0,-3
07_BC.CN.x.BJ22_5.HQ326125,12,0,0,0,0
07_BC.CN.x.BJ24_3.HQ326126,12,0,0,0,-1
07_BC.CN.x.BJ28_13.MN617362,13,0,0,0,-1
07_BC.CN.x.FE.,14,0,0,0,-1
07_BC.CN.x.FE_N133Q.,14,0,0,0,-1
07_BC.CN.x.FE_N142Q.,14,0,0,0,-1
07_BC.CN.x.FE_N197D.,14,0,0,0,-1
07_BC.CN.x.FE_N289D.,14,0,0,0,-1
07_BC.CN.x.FE_N301Q.,14,0,0,0,-1
07_BC.CN.x.FE_N339Q.,14,0,0,0,-1
07_BC.CN.x.FE_N355Q.,14,0,0,0,-1
07_BC.CN.x.FE_N392Q.,14,0,0,0,-1
07_BC.CN.x.FE_N408Q.,14,0,0,0,-1
07_BC.CN.x.FE_N411Q.,14,0,0,0,-1
07_BC.CN.x.FE_N442Q.,14,0,0,0,-1
07_BC.CN.x.FE_N448Q.,14,0,0,0,-1
07_BC.CN.x.FE_N463Q.,14,0,0,0,-1
07_BC.CN.x.FE_N466Q.,14,0,0,0,-1
07_BC.CN.x.FE_N611Q.,14,0,0,0,-1
07_BC.CN.x.FE_N625Q.,14,0,0,0,-1
07_BC.CN.x.FE_N637Q.,14,0,0,0,-1
07_BC.CN.x.FE_N88D.,14,0,0,0,-1
07_BC.CN.x.GX33M_25.HQ326141,18,0,0,0,-2
07_BC.CN.x.GX45_57.HQ326143,12,0,0,0,-1
07_BC.CN.x.GX79_7.HQ326145,16,0,0,0,-1
07_BC.CN.x.GX84_59.HQ326146,12,0,0,0,0
07_BC.CN.x.GX93_8.MN617364,19,0,0,0,1
07_BC.CN.x.GZ30_6.MN617392,12,0,0,0,0
07_BC.CN.x.GZ36_5.MN617393,12,0,0,0,0
07_BC.CN.x.GZ38_2.MN617394,12,0,0,0,0
07_BC.CN.x.HB5_3.HQ326124,15,0,0,0,-1
07_BC.CN.x.SC14_49.MN617370,16,0,0,0,0
07_BC.CN.x.SC17_32.HQ326128,16,0,0,0,-3
07_BC.CN.x.SC18_26.MN617371,16,0,0,0,-2
07_BC.CN.x.SC19_15.HQ326129,12,0,0,0,0
07_BC.CN.x.SC20_15.HQ326130,11,0,0,0,-1
07_BC.CN.x.SC21_28.HQ326131,12,0,0,0,-1
07_BC.CN.x.SC22_16.HQ326132,13,0,0,0,-2
07_BC.CN.x.SC24_40.HM991498,13,0,0,0,0
07_BC.CN.x.XJ16_6.HQ326133,14,0,0,0,0
07_BC.CN.x.XJ179_47.MN617368,12,0,0,0,0
07_BC.CN.x.XJ180_16.MN617369,12,0,0,0,-2
07_BC.CN.x.XJ180_29.HQ326136,12,0,0,0,-2
07_BC.CN.x.XJ47_5.HQ326134,14,0,0,0,-1
07_BC.CN.x.XJ50_6.HQ326135,13,0,0,0,-3
07_BC.CN.x.YN108R_4.HQ326138,23,0,0,0,0
07_BC.CN.x.YN112R_8.MN617365,18,0,0,0,-1
07_BC.CN.x.YN148R_9.HQ326139,12,0,0,0,-2
07_BC.CN.x.YN99R_5.HQ326137,15,0,0,0,-4
08_BC.CN.1998.98CN006.AY669745,14,0,0,0,1
08_BC.CN.2005.BC06.EU363836,12,0,0,0,-1
08_BC.CN.2005.BC11.EU363841,12,0,0,0,-1
08_BC.CN.2006.BC01.EU363831,14,0,0,0,0
08_BC.CN.2006.BC17.EU363847,15,0,0,0,-1
08_BC.CN.2007.CNE23.HM215408,16,0,0,0,-1
08_BC.CN.2007.CNE30.HM215411,14,0,0,0,0
08_BC.CN.2007.CNE31.HM215412,12,0,0,0,1
08_BC.CN.2007.CNE46.HQ699971,12,0,0,0,0
08_BC.CN.2007.CNE47.HQ699972,14,0,0,0,-1
08_BC.CN.2007.CNE48.HQ699973,11,0,0,0,0
08_BC.CN.2007.CNE49.HQ699974,17,0,0,0,-1
08_BC.CN.2007.CNE52.HM215416,17,0,0,0,-1
08_BC.CN.2007.CNE53.HM215417,12,0,0,0,0
08_BC.CN.x.GX43_2.HQ326142,17,0,1,0,-3
08_BC.CN.x.GX75_20.HQ326144,14,0,0,0,-1
08_BC.CN.x.SC12_10.MN617366,12,0,0,0,-1
08_BC.CN.x.YN177_1.HQ326140,13,0,0,0,0
08_BC.CN.x.YN189_52.MN617363,12,0,0,0,-1
08_BC.CN.x.YN6_23.MN617367,12,0,0,0,0
12_BF.ES.2009.P2355_E4_2.GU332507,11,0,0,0,0
13U.CM.2004.258.EU513192,12,0,1,0,0
14_BG.ES.2007.X2252_C7.EU885766,13,0,0,0,-2
21_A2D.KE.2004.QG393_60M_A1.FJ866128,11,0,0,0,0
21_A2D.KE.2004.QG393_60M_B7.FJ866129,11,0,0,0,0
21_A2D.KE.2004.QG393_60M_B8.FJ866130,11,0,0,0,0
41_CD.TZ.2003.6650_V1_C8.HM215337,12,1,0,0,0
41_CD.TZ.2003.6952_V1_C20.HM215343,12,1,0,0,0
44_BF1.CL.2001.CH12_C2_6.HM068553,18,1,0,0,-1
A1.BE.x.VLGC_A1.AY669698,12,0,0,0,0
A1.CH.1998.S51928_278WK_C26.PQ282682,12,1,0,0,0
A1.CH.2010.S30440_173WK_C66.PQ282676,13,0,0,0,0
A1.CH.2012.S11456_244WK_C77.PQ282666,11,0,0,0,-1
A1.IN.2019.TSG_EHI6.OZ241572,11,0,0,0,0
A1.IN.2020.TSG_EHI26.OZ241565,13,0,0,0,-2
A1.KE.1993.BG505_DELTA_CT_T332N.,12,0,0,0,0
A1.KE.1993.BG505_W6M_A5.DQ208456,12,0,0,0,0
A1.KE.1993.BG505_W6M_A5_T332N.,12,0,0,0,0
A1.KE.1993.BG505_W6M_B1.DQ208457,12,0,0,0,0
A1.KE.1993.BG505_W6M_C2.DQ208458,12,0,0,0,0
A1.KE.1993.BG505_W6M_C2_A512W.,12,0,0,0,0
A1.KE.1993.BG505_W6M_C2_DELGLY3_197.,12,0,0,0,0
A1.KE.1993.BG505_W6M_C2_DELGLY3_276.,12,0,0,0,0
A1.KE.1993.BG505_W6M_C2_DELGLY3_363.,12,0,0,0,0
A1.KE.1993.BG505_W6M_C2_DELGLY3_462.,12,0,0,0,0
A1.KE.1993.BG505_W6M_C2_DELGLY4.,12,0,0,0,0
A1.KE.1993.BG505_W6M_C2_FP_V2.,12,0,0,0,0
A1.KE.1993.BG505_W6M_C2_FP_V3.,12,0,0,0,0
A1.KE.1993.BG505_W6M_C2_G521E.,12,0,0,0,0
A1.KE.1993.BG505_W6M_C2_I515L.,12,0,0,0,0
A1.KE.1993.BG505_W6M_C2_N301A.,12,0,0,0,0
A1.KE.1993.BG505_W6M_C2_N611Q.,12,0,0,0,0
A1.KE.1993.BG505_W6M_C2_N611Q_FP_V2.,12,0,0,0,0
A1.KE.1993.BG505_W6M_C2_N611Q_FP_V3.,12,0,0,0,0
A1.KE.1993.BG505_W6M_C2_S241N.,12,0,0,0,0
A1.KE.1993.BG505_W6M_C2_T332N.,12,0,0,0,0
A1.KE.1993.BG505_W6M_C2_Y173A_Y177A.,12,0,0,0,0
